t,ex,ey,ez
1613570884875,0,0,0
1613570884875,0,0,0
1613570884875,0,0,0
1613570884875,0,0,0
1613570884875,0,0,0
1613570884875,0,0,0
1613570884875,0,0,0
1613570884875,0,0,0
1613570884875,0,0,0
1613570884876,0,0,0
1613570884876,0,0,0
1613570884876,0.14,-0.14,0
1613570884899,0.14,-0.14,0
1613570884899,0.14,-0.14,0
1613570884899,0.14,-0.14,0
1613570884899,0.14,-0.14,0
1613570884899,0.14,-0.14,0
1613570884900,0.14,-0.14,0
1613570884900,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884901,0.14,-0.14,0
1613570884902,78.9,0.5,-0.17
1613570884939,78.9,0.5,-0.17
1613570884939,78.9,0.5,-0.17
1613570884939,78.9,0.5,-0.17
1613570884940,78.9,0.5,-0.17
1613570884940,78.9,0.5,-0.17
1613570884940,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884941,78.9,0.5,-0.17
1613570884942,78.9,0.5,-0.17
1613570884942,78.9,0.5,-0.17
1613570884942,78.91,0.73,-0.41
1613570884979,78.91,0.73,-0.41
1613570884980,78.91,0.73,-0.41
1613570884984,78.91,0.73,-0.41
1613570884984,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884985,78.91,0.73,-0.41
1613570884986,78.91,0.73,-0.41
1613570884986,78.91,0.73,-0.41
1613570884986,78.91,0.73,-0.41
1613570884986,78.91,0.73,-0.41
1613570884986,78.93,0.25,-0.12
1613570885020,78.93,0.25,-0.12
1613570885020,78.93,0.25,-0.12
1613570885020,78.93,0.25,-0.12
1613570885020,78.93,0.25,-0.12
1613570885020,78.93,0.25,-0.12
1613570885020,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885021,78.93,0.25,-0.12
1613570885022,78.93,0.25,-0.12
1613570885022,78.94,0.51,-0.34
1613570885060,78.94,0.51,-0.34
1613570885060,78.94,0.51,-0.34
1613570885060,78.94,0.51,-0.34
1613570885060,78.94,0.51,-0.34
1613570885060,78.94,0.51,-0.34
1613570885060,78.94,0.51,-0.34
1613570885061,78.94,0.51,-0.34
1613570885061,78.94,0.51,-0.34
1613570885061,78.94,0.51,-0.34
1613570885061,78.94,0.51,-0.34
1613570885061,78.94,0.51,-0.34
1613570885062,78.94,0.51,-0.34
1613570885062,78.94,0.51,-0.34
1613570885062,78.94,0.51,-0.34
1613570885062,78.94,0.51,-0.34
1613570885062,78.94,0.51,-0.34
1613570885062,78.94,0.51,-0.34
1613570885062,78.96,0.88,-0.41
1613570885099,78.96,0.88,-0.41
1613570885099,78.96,0.88,-0.41
1613570885099,78.96,0.88,-0.41
1613570885099,78.96,0.88,-0.41
1613570885099,78.96,0.88,-0.41
1613570885099,78.96,0.88,-0.41
1613570885100,78.96,0.88,-0.41
1613570885100,78.96,0.88,-0.41
1613570885100,78.96,0.88,-0.41
1613570885100,78.96,0.88,-0.41
1613570885101,78.96,0.88,-0.41
1613570885101,78.96,0.88,-0.41
1613570885101,78.96,0.88,-0.41
1613570885101,78.96,0.88,-0.41
1613570885101,78.96,0.88,-0.41
1613570885101,78.96,0.88,-0.41
1613570885101,78.96,0.88,-0.41
1613570885101,78.98,0.4,-0.14
1613570885139,78.98,0.4,-0.14
1613570885139,78.98,0.4,-0.14
1613570885139,78.98,0.4,-0.14
1613570885139,78.98,0.4,-0.14
1613570885139,78.98,0.4,-0.14
1613570885139,78.98,0.4,-0.14
1613570885140,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.98,0.4,-0.14
1613570885141,78.99,0.71,-0.32
1613570885179,78.99,0.71,-0.32
1613570885179,78.99,0.71,-0.32
1613570885180,78.99,0.71,-0.32
1613570885180,78.99,0.71,-0.32
1613570885180,78.99,0.71,-0.32
1613570885180,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,78.99,0.71,-0.32
1613570885181,79,0.67,-0.65
1613570885220,79,0.67,-0.65
1613570885220,79,0.67,-0.65
1613570885220,79,0.67,-0.65
1613570885220,79,0.67,-0.65
1613570885220,79,0.67,-0.65
1613570885220,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885221,79,0.67,-0.65
1613570885222,79,0.67,-0.65
1613570885222,79.02,0.37,-0.15
1613570885260,79.02,0.37,-0.15
1613570885260,79.02,0.37,-0.15
1613570885260,79.02,0.37,-0.15
1613570885260,79.02,0.37,-0.15
1613570885260,79.02,0.37,-0.15
1613570885260,79.02,0.37,-0.15
1613570885261,79.02,0.37,-0.15
1613570885261,79.02,0.37,-0.15
1613570885261,79.02,0.37,-0.15
1613570885261,79.02,0.37,-0.15
1613570885262,79.02,0.37,-0.15
1613570885262,79.02,0.37,-0.15
1613570885262,79.02,0.37,-0.15
1613570885262,79.02,0.37,-0.15
1613570885262,79.02,0.37,-0.15
1613570885262,79.02,0.37,-0.15
1613570885262,79.02,0.37,-0.15
1613570885262,79.04,0.62,-0.37
1613570885299,79.04,0.62,-0.37
1613570885299,79.04,0.62,-0.37
1613570885299,79.04,0.62,-0.37
1613570885299,79.04,0.62,-0.37
1613570885299,79.04,0.62,-0.37
1613570885299,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.04,0.62,-0.37
1613570885301,79.06,1.02,-0.37
1613570885339,79.06,1.02,-0.37
1613570885339,79.06,1.02,-0.37
1613570885339,79.06,1.02,-0.37
1613570885339,79.06,1.02,-0.37
1613570885339,79.06,1.02,-0.37
1613570885339,79.06,1.02,-0.37
1613570885341,79.06,1.02,-0.37
1613570885341,79.06,1.02,-0.37
1613570885341,79.06,1.02,-0.37
1613570885341,79.06,1.02,-0.37
1613570885342,79.06,1.02,-0.37
1613570885342,79.06,1.02,-0.37
1613570885342,79.06,1.02,-0.37
1613570885342,79.06,1.02,-0.37
1613570885342,79.06,1.02,-0.37
1613570885342,79.06,1.02,-0.37
1613570885342,79.06,1.02,-0.37
1613570885342,79.08,0.58,-0
1613570885379,79.08,0.58,-0
1613570885379,79.08,0.58,-0
1613570885379,79.08,0.58,-0
1613570885380,79.08,0.58,-0
1613570885380,79.08,0.58,-0
1613570885380,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.08,0.58,-0
1613570885382,79.09,0.6,-0.33
1613570885420,79.09,0.6,-0.33
1613570885420,79.09,0.6,-0.33
1613570885420,79.09,0.6,-0.33
1613570885420,79.09,0.6,-0.33
1613570885420,79.09,0.6,-0.33
1613570885420,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885421,79.09,0.6,-0.33
1613570885422,79.09,0.6,-0.33
1613570885422,79.11,0.99,-0.34
1613570885461,79.11,0.99,-0.34
1613570885461,79.11,0.99,-0.34
1613570885461,79.11,0.99,-0.34
1613570885461,79.11,0.99,-0.34
1613570885461,79.11,0.99,-0.34
1613570885461,79.11,0.99,-0.34
1613570885461,79.11,0.99,-0.34
1613570885461,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.11,0.99,-0.34
1613570885462,79.12,0.49,-0.12
1613570885499,79.12,0.49,-0.12
1613570885499,79.12,0.49,-0.12
1613570885499,79.12,0.49,-0.12
1613570885499,79.12,0.49,-0.12
1613570885499,79.12,0.49,-0.12
1613570885499,79.12,0.49,-0.12
1613570885500,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.12,0.49,-0.12
1613570885501,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885539,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885544,79.14,0.64,-0.42
1613570885545,79.14,0.64,-0.42
1613570885545,79.14,0.64,-0.42
1613570885545,79.16,0.71,0.14
1613570885579,79.16,0.71,0.14
1613570885579,79.16,0.71,0.14
1613570885580,79.16,0.71,0.14
1613570885580,79.16,0.71,0.14
1613570885580,79.16,0.71,0.14
1613570885580,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885581,79.16,0.71,0.14
1613570885582,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885620,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885621,79.17,0.23,0.11
1613570885622,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
1613570885660,79.19,0.4,-0.17
