t,ex,ey,ez
1613567936688,0,0,0
1613567936688,0,0,0
1613567936688,0,0,0
1613567936688,0,0,0
1613567936688,0,0,0
1613567936688,0,0,0
1613567936689,0,0,0
1613567936689,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,0,0,0
1613567936690,180.98,-0.43,-0.52
1613567936728,180.98,-0.43,-0.52
1613567936728,180.98,-0.43,-0.52
1613567936728,180.98,-0.43,-0.52
1613567936728,180.98,-0.43,-0.52
1613567936728,180.98,-0.43,-0.52
1613567936728,180.98,-0.43,-0.52
1613567936729,180.98,-0.43,-0.52
1613567936729,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,180.98,-0.43,-0.52
1613567936730,181,-0.35,0.04
1613567936769,181,-0.35,0.04
1613567936769,181,-0.35,0.04
1613567936769,181,-0.35,0.04
1613567936769,181,-0.35,0.04
1613567936769,181,-0.35,0.04
1613567936769,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936770,181,-0.35,0.04
1613567936771,181.02,-0.35,-0.29
1613567936807,181.02,-0.35,-0.29
1613567936807,181.02,-0.35,-0.29
1613567936807,181.02,-0.35,-0.29
1613567936808,181.02,-0.35,-0.29
1613567936808,181.02,-0.35,-0.29
1613567936808,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936809,181.02,-0.35,-0.29
1613567936810,181.02,-0.35,-0.29
1613567936810,181.04,-0.38,-0.63
1613567936847,181.04,-0.38,-0.63
1613567936848,181.04,-0.38,-0.63
1613567936848,181.04,-0.38,-0.63
1613567936848,181.04,-0.38,-0.63
1613567936848,181.04,-0.38,-0.63
1613567936848,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936849,181.04,-0.38,-0.63
1613567936850,181.04,-0.38,-0.63
1613567936850,181.04,-0.38,-0.63
1613567936850,181.06,-0.34,-0.05
1613567936888,181.06,-0.34,-0.05
1613567936888,181.06,-0.34,-0.05
1613567936888,181.06,-0.34,-0.05
1613567936888,181.06,-0.34,-0.05
1613567936888,181.06,-0.34,-0.05
1613567936888,181.06,-0.34,-0.05
1613567936889,181.06,-0.34,-0.05
1613567936889,181.06,-0.34,-0.05
1613567936889,181.06,-0.34,-0.05
1613567936889,181.06,-0.34,-0.05
1613567936889,181.06,-0.34,-0.05
1613567936889,181.06,-0.34,-0.05
1613567936889,181.06,-0.34,-0.05
1613567936890,181.06,-0.34,-0.05
1613567936890,181.06,-0.34,-0.05
1613567936890,181.06,-0.34,-0.05
1613567936890,181.06,-0.34,-0.05
1613567936890,181.06,-0.34,-0.05
1613567936890,181.06,-0.34,-0.05
1613567936890,181.08,-0.34,-0.39
1613567936928,181.08,-0.34,-0.39
1613567936928,181.08,-0.34,-0.39
1613567936928,181.08,-0.34,-0.39
1613567936928,181.08,-0.34,-0.39
1613567936928,181.08,-0.34,-0.39
1613567936928,181.08,-0.34,-0.39
1613567936929,181.08,-0.34,-0.39
1613567936929,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.08,-0.34,-0.39
1613567936930,181.1,-0.82,-0.41
1613567936968,181.1,-0.82,-0.41
1613567936968,181.1,-0.82,-0.41
1613567936968,181.1,-0.82,-0.41
1613567936968,181.1,-0.82,-0.41
1613567936968,181.1,-0.82,-0.41
1613567936969,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.1,-0.82,-0.41
1613567936970,181.11,-0.42,-0.24
1613567937007,181.11,-0.42,-0.24
1613567937007,181.11,-0.42,-0.24
1613567937008,181.11,-0.42,-0.24
1613567937008,181.11,-0.42,-0.24
1613567937008,181.11,-0.42,-0.24
1613567937008,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.11,-0.42,-0.24
1613567937009,181.14,-0.2,-0.49
1613567937047,181.14,-0.2,-0.49
1613567937049,181.14,-0.2,-0.49
1613567937049,181.14,-0.2,-0.49
1613567937050,181.14,-0.2,-0.49
1613567937052,181.14,-0.2,-0.49
1613567937053,181.14,-0.2,-0.49
1613567937054,181.14,-0.2,-0.49
1613567937056,181.14,-0.2,-0.49
1613567937056,181.14,-0.2,-0.49
1613567937057,181.14,-0.2,-0.49
1613567937058,181.14,-0.2,-0.49
1613567937059,181.14,-0.2,-0.49
1613567937060,181.14,-0.2,-0.49
1613567937061,181.14,-0.2,-0.49
1613567937062,181.14,-0.2,-0.49
1613567937063,181.14,-0.2,-0.49
1613567937067,181.14,-0.2,-0.49
1613567937069,181.14,-0.2,-0.49
1613567937070,181.15,-0.52,0
1613567937088,181.15,-0.52,0
1613567937088,181.15,-0.52,0
1613567937089,181.15,-0.52,0
1613567937089,181.15,-0.52,0
1613567937090,181.15,-0.52,0
1613567937090,181.15,-0.52,0
1613567937091,181.15,-0.52,0
1613567937092,181.15,-0.52,0
1613567937092,181.15,-0.52,0
1613567937093,181.15,-0.52,0
1613567937094,181.15,-0.52,0
1613567937095,181.15,-0.52,0
1613567937096,181.15,-0.52,0
1613567937096,181.15,-0.52,0
1613567937096,181.15,-0.52,0
1613567937097,181.15,-0.52,0
1613567937097,181.15,-0.52,0
1613567937098,181.15,-0.52,0
1613567937098,181.15,-0.52,0
1613567937099,181.17,-0.34,-0.27
1613567937128,181.17,-0.34,-0.27
1613567937128,181.17,-0.34,-0.27
1613567937128,181.17,-0.34,-0.27
1613567937128,181.17,-0.34,-0.27
1613567937128,181.17,-0.34,-0.27
