t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613570911456,0,0,0,0,0,0,0,0,0,0,0,0
1613570911559,0,0,0,0,0,0,0,0,0,0,0,0
1613570911662,0,0,0,0,0,0,0,0,0,0,0,0
1613570911765,0,0,0,0,0,0,0,0,0,0,0,0
1613570911868,0,0,0,0,0,0,0,0,0,0,0,0
1613570911973,0,0,0,-1.33,1.09,13.74,-69.0625,67.875,-49.1875,0.0111111,0.0344444,-0.01
1613570912079,0,0.25,0,-3.21,0.94,17.22,-68.375,67.875,-48.375,-0.0122222,-0.00888889,-0.00333333
1613570912184,0,0.25,0,-1.11,-0.24,12.83,-69.75,68.25,-47.375,-0.00555556,-0.01,0.00666667
1613570912289,0,0.25,0,-2.64,0.11,15.15,-68.375,68.6875,-47.375,0.00555556,-0.0177778,0.00111111
1613570912396,0,0.25,0,0.99,0.02,3.91,-69.75,68.25,-47,0.00333333,-0.00777778,-0.00777778
1613570912499,0,0.3125,0,-2.17,0.93,15.76,-68.6875,67.875,-47.375,-0.00222222,-0.00444444,-0.00555556
1613570912602,0,0.3125,0,1.82,-0.71,2.51,-69.0625,68.25,-47,-0.00222222,-0.0333333,0.0111111
1613570912706,0,0.3125,0,0.63,0.3,5.93,-68.6875,69.375,-48.0625,0.00444444,-0.0111111,-0.00333333
1613570912812,0,0.3125,0,2.04,-0.16,2.85,-69.75,68.25,-48.0625,0.00222222,0.0211111,-0.0111111
1613570912916,0,0.375,0,-2,0.05,14.78,-69.375,69.375,-47.6875,-0.00666667,0.00444444,-0.00222222
1613570913020,0,0.375,0,0.39,-0.56,6.51,-68.375,70.0625,-47.375,0.00111111,-0.0344444,0.00888889
1613570913127,0,0.375,0,-2.33,1.03,15.08,-68.6875,68.6875,-47.375,0.01,-0.00555556,0
1613570913231,0,0.375,0,-2.58,0.5,15.2,-68.75,69.6875,-48.75,0.00333333,0.02,-0.00888889
1613570913338,0,0.375,0,-3.12,0.69,16.54,-68.375,69.0625,-46.1875,-0.00222222,-0.00444444,-0.00111111
1613570913441,0.0625,0.375,0,-1.15,-0.36,11.1,-69.0625,69.0625,-48.375,-0.00666667,-0.0288889,0.01
1613570913548,0.0625,0.375,0.0625,-0.79,0.87,10.19,-69.0625,69.0625,-48.75,0.00333333,-0.0211111,0.00222222
