t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613558722505,0,0,0,0,0,0,0,0,0,0,0,0
1613558722609,0,0,0,0,0,0,0,0,0,0,0,0
1613558722712,0,0,0,0,0,0,0,0,0,0,0,0
1613558722816,0,0,0,0,0,0,0,0,0,0,0,0
1613558722920,0,0,0,0,0,0,0,0,0,0,0,0
1613558723027,0,0,0,-0.6,0.5,9.81,-64.75,80.375,-50.875,-0.00111111,0.00111111,-0.00222222
1613558723133,360,-3.625,-2.9375,-0.62,0.5,9.66,-64.375,81.0625,-51.5625,0,0,0.00111111
1613558723238,360,-3.625,-2.9375,-0.62,0.48,9.68,-64.375,80.75,-49.375,0.00111111,0.00222222,-0.00444444
1613558723344,360,-3.625,-2.9375,-0.6,0.5,9.66,-64.75,81.0625,-50.5,0,0,0
1613558723448,0,-3.625,-2.9375,-0.61,0.5,9.7,-64,81.75,-49.6875,0.00111111,-0.00333333,0.00111111
1613558723554,0,-3.625,-2.9375,-0.61,0.5,9.69,-64.75,81.75,-48.6875,0,0.00111111,-0.00111111
1613558723660,0,-3.625,-2.9375,-0.62,0.5,9.72,-64.75,81.75,-49.6875,0,0.00111111,0
1613558723765,0,-3.625,-2.9375,-0.61,0.49,9.67,-64,81.75,-49.375,0.00333333,-0.00222222,0.00111111
1613558723876,0,-3.625,-2.9375,-0.62,0.5,9.67,-64,81.875,-49.6875,0.00111111,0.00444444,0.00111111
1613558723984,0,-3.625,-2.9375,-0.61,0.46,9.66,-63.5625,81.5,-50.0625,0.00111111,0.00111111,0.00111111
1613558724088,0,-3.625,-2.9375,-0.62,0.5,9.69,-64,80.75,-49.0625,0,0.00111111,-0.00111111
1613558724196,0,-3.625,-2.9375,-0.62,0.52,9.69,-64.375,81.5,-49.0625,0.00222222,-0.00222222,-0.00111111
1613558724299,0,-3.625,-2.9375,-0.62,0.51,9.65,-65.0625,81.5,-49.375,0,0.00222222,-0.00111111
1613558724402,0,-3.625,-2.9375,-0.61,0.51,9.71,-65.0625,81.5,-49.0625,0,-0.00222222,0.00111111
1613558724507,0,-3.625,-2.9375,-0.61,0.51,9.71,-64,81.875,-49.6875,0.00111111,0.00111111,-0.00111111
1613558724616,0,-3.625,-2.9375,-0.6,0.51,9.72,-64.375,81.875,-50.5,0.00111111,0.00222222,0
1613558724719,0,-3.625,-2.9375,-0.62,0.49,9.68,-64.375,82.5625,-49.375,0.00111111,-0.00111111,0
1613558724827,0,-3.625,-2.9375,-0.6,0.49,9.68,-64,81.875,-49.6875,0.00111111,-0.00111111,0.00222222
1613558724931,0,-3.625,-2.9375,-0.63,0.49,9.67,-64,81.5,-50.0625,0,-0.00111111,0
1613558725038,0,-3.625,-2.9375,-0.59,0.51,9.66,-64,81.0625,-49.0625,0,0,0.00222222
1613558725145,0,-3.625,-2.9375,-0.6,0.5,9.68,-65.0625,82.1875,-49.375,0.00111111,0.00111111,-0.00111111
1613558725251,0,-3.625,-2.9375,-0.61,0.5,9.68,-64.375,81.875,-51.1875,-0.00111111,-0.00333333,0.00222222
1613558725356,0,-3.625,-2.9375,-0.61,0.5,9.7,-64,81.5,-49.6875,0.00111111,0,0
1613558725461,0,-3.625,-2.9375,-0.6,0.5,9.71,-64,81.0625,-49.375,0,0.00111111,0
1613558725570,0,-3.625,-2.9375,-0.62,0.51,9.69,-63.5625,81.0625,-48.6875,0,0,0
1613558725676,0,-3.625,-2.9375,-0.61,0.5,9.7,-64.375,81.5,-49.6875,0,-0.00111111,0.00111111
1613558725782,0,-3.625,-2.9375,-0.6,0.5,9.66,-64.75,81.0625,-49.375,0.00111111,0.00111111,0
1613558725891,0,-3.625,-2.9375,-0.62,0.48,9.69,-64.75,80.75,-48.25,0,-0.00333333,-0.00222222
1613558725996,0,-3.625,-2.9375,-0.62,0.5,9.68,-64.375,80.75,-49.375,0,-0.00111111,0.00111111
1613558726103,0,-3.625,-2.9375,-0.6,0.49,9.68,-64.75,81.5,-49.6875,-0.00111111,0.00111111,-0.00222222
1613558726208,0,-3.625,-2.9375,-0.62,0.5,9.7,-64.75,81.5,-49.0625,0,-0.00333333,0
1613558726314,0,-3.625,-2.9375,-0.62,0.5,9.67,-63.25,82.1875,-50.0625,0.00111111,-0.00222222,0.00222222
1613558726422,0,-3.625,-2.9375,-0.61,0.51,9.69,-64,81.875,-49.375,0,0.00111111,0.00222222
1613558726529,0,-3.625,-2.9375,-0.61,0.51,9.68,-64,81.5,-49.6875,0,0.00111111,0
1613558726635,0,-3.625,-2.9375,-0.6,0.5,9.66,-64,81.875,-48.6875,0.00111111,0,-0.00111111
1613558726743,0,-3.625,-2.9375,-0.62,0.5,9.64,-64.375,82.1875,-49.0625,-0.00111111,0,0.00111111
1613558726848,0,-3.625,-2.9375,-0.62,0.51,9.68,-64.75,81.0625,-49.6875,-0.00111111,-0.00111111,0.00111111
1613558726956,0,-3.625,-2.9375,-0.6,0.5,9.66,-64.75,82.1875,-49.375,0,-0.00222222,0.00222222
1613558727060,0,-3.625,-2.9375,-0.61,0.5,9.67,-64,81.875,-49.6875,0.00111111,-0.00111111,0
1613558727167,0,-3.625,-2.9375,-0.61,0.51,9.71,-64.75,81.5,-50.0625,0.00333333,0.00222222,0.00111111
1613558727275,0,-3.625,-2.9375,-0.63,0.51,9.68,-64.375,81.5,-49.6875,0.00222222,0.00111111,0
1613558727380,0,-3.625,-2.9375,-0.61,0.49,9.68,-65.0625,81.875,-49.0625,0,0,0
1613558727487,0,-3.625,-2.9375,-0.6,0.51,9.7,-64,81.875,-50.0625,-0.00111111,0,0.00222222
1613558727595,0,-3.625,-2.9375,-0.63,0.5,9.67,-64.375,81.5,-49.375,-0.00222222,-0.00333333,-0.00111111
